..
Name                                                                                                                              OS       Location                                                                                                                                                                                                                                                 
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.14                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.15                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.16                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.17                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.18                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.19                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.20                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.21                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.22                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.23                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
